LOC_ID,metric,n,slope_wls,p_wls,q_wls,protein_name
LOC134720928,pad_area,46,-0.16895421599492766,0.5471323358368579,0.9048603622911706,Multidrug resistance-associated protein 1 (EC 7.6.2.2) (ATP-binding cassette sub-family C member 1) (Glutathione-S-conjugate-translocating ATPase ABCC1) (EC 7.6.2.3) (Leukotriene C(4) transporter) (LTC4 transporter)
LOC134711985,pad_area,46,-0.24124581461078598,0.7185856955781547,0.9048603622911706,Tubulin-folding cofactor B (Cytoskeleton-associated protein 1) (Cytoskeleton-associated protein CKAPI) (Tubulin-specific chaperone B)
LOC134715354,pad_area,46,-0.07272642003230906,0.8157660255707813,0.9307721233503129,Glutathione S-transferase 1 (EC 2.5.1.18) (GST class-sigma)
LOC134693874,pad_area,46,-0.45262444664445733,0.3207110605240773,0.7483258078895136,Basement membrane-specific heparan sulfate proteoglycan core protein (HSPG) (Perlecan) (PLC) [Cleaved into: Endorepellin; LG3 peptide]
LOC134707468,adhesion_kpa,46,5.2330095568977715,0.4601882913532269,0.9352213662984934,Dual oxidase maturation factor 1 (Dual oxidase activator 1) (Numb-interacting protein)
LOC134715138,adhesion_kpa,46,9.56041874546035,0.4253689053720445,0.8932747012812935,"Stress-70 protein, mitochondrial (75 kDa glucose-regulated protein) (GRP-75) (Heat shock 70 kDa protein 9)"
LOC134714939,adhesion_kpa,46,-19.825780423704057,0.24499303932413982,0.850164376064747,"Threonine--tRNA ligase 1, cytoplasmic (EC 6.1.1.3) (Threonine--tRNA ligase, cytoplasmic) (Threonyl-tRNA synthetase) (ThrRS) (Threonyl-tRNA synthetase 1)"
LOC134707842,adhesion_kpa,46,-11.111403570389724,0.5817218869785066,0.9870331256021276,"Methionine--tRNA ligase, cytoplasmic (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)"
LOC134714791,adhesion_kpa,46,6.063774518829373,0.5968319003798471,0.9870331256021276,"Asparagine--tRNA ligase, cytoplasmic (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS)"
LOC134711783,adhesion_kpa,46,14.208490861873903,0.28632780230255095,0.850164376064747,Bifunctional glutamate/proline--tRNA ligase (Bifunctional aminoacyl-tRNA synthetase) [Includes: Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase); Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)]
LOC134706577,adhesion_kpa,46,13.966120497428175,0.3970462363252285,0.8625487202927379,"10 kDa heat shock protein, mitochondrial (Hsp10) (10 kDa chaperonin) (Chaperonin 10) (CPN10)"
LOC134697300,adhesion_kpa,46,8.241295599325435,0.31653118901983873,0.850164376064747,Byssal HSP-like protein 1
LOC134706345,adhesion_kpa,46,10.834177204016873,0.3643561611706059,0.850164376064747,Glycine--tRNA ligase (EC 6.1.1.14) (Diadenosine tetraphosphate synthetase) (Ap4A synthetase) (EC 2.7.7.-) (Glycyl-tRNA synthetase) (GlyRS) (Glycyl-tRNA synthetase 1)
LOC134700327,adhesion_kpa,46,-17.75947275433453,0.2207877470636839,0.850164376064747,Glutathione peroxidase 7 (GPx-7) (GSHPx-7) (EC 1.11.1.9)
LOC134717350,adhesion_kpa,46,-4.293636657426437,0.48583845186120433,0.956494452101746,Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)
